"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Dixon Schools Say Keep Your Child Home if Any Sign of Cold or Flu     https://t.co/ykhZEzvYzb https://t.co/KyBWme2Hdw",FALSE,0,NA,2019-03-09 01:50:09,FALSE,NA,"1104197648574222336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wixnam1460",0,FALSE,FALSE,NA,NA
"2","Cold and flu medicine may carry risks for people with high blood pressure. https://t.co/3fr7ug5gRA",FALSE,0,NA,2019-03-09 01:47:24,FALSE,NA,"1104196959194267648",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","faithhealthhome",0,FALSE,FALSE,NA,NA
"3","RT @WebMD: You're sneezing, coughing, and all stuffed up. Is it a cold or sinus infection? How to tell them apart: https://t.co/tfT0TVc13v…",FALSE,0,NA,2019-03-09 01:32:49,FALSE,NA,"1104193287026589696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zaya_sangi",19,TRUE,FALSE,NA,NA
"4","RT @GCross_CEO: Just got rid of a stomach flu/bug and now I'm dealing with a cold. Grrrrrrrrrrreat. [frowns] Enjoy your Friday everyone! #N…",FALSE,0,NA,2019-03-09 01:32:31,FALSE,NA,"1104193212120367104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mebrrb",2,TRUE,FALSE,NA,NA
"5","RT @VivenHealth: Can you separate fact from fiction? Check our our founder @tsa7 in this article on 15 Flu Myths! 

#flu #cold #hr 

https:…",FALSE,0,NA,2019-03-09 01:28:00,FALSE,NA,"1104192076055494656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4ThePatient",0,TRUE,FALSE,NA,NA
"6","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-09 01:24:31,FALSE,NA,"1104191201589317637",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jensanityyyy",14,TRUE,FALSE,NA,NA
"7","@paulkimballfilm I've been a little sick too, flu and cold going around at work, at least I just have a head cold o… https://t.co/R013EkzLy6",FALSE,1,"paulkimballfilm",2019-03-09 01:12:12,TRUE,"1104185887343165441","1104188098899005440","86856057","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","alien_expanse",0,FALSE,FALSE,NA,NA
"8","RT @SwettmanF: Poor twinks is so sick.the vet and all the research i could do said it's a viral infection and she just has to stay hydrated…",FALSE,0,NA,2019-03-09 01:09:37,FALSE,NA,"1104187449356550145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SwettmanF",1,TRUE,FALSE,NA,NA
"9","Flu Research Once Banned Because It Was Deemed Too Dangerous Is Set to Resume - https://t.co/wExmUTCT4q",FALSE,0,NA,2019-03-09 01:05:00,FALSE,NA,"1104186286712213505",NA,"<a href=""https://github.com/sferik/t"" rel=""nofollow"">joshtronic/t</a>","joshtronic",0,FALSE,FALSE,NA,NA
"10","I thought I had the flu but it’s just depression and a cold",FALSE,0,NA,2019-03-09 01:00:57,FALSE,NA,"1104185269375381506",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lonelygrrl9",0,FALSE,FALSE,NA,NA
"11","RT @amoration: Finishing my first #elixir today, a two week infusion of elderberries and herbs for cold/flu season with an 80 proof potato…",FALSE,0,NA,2019-03-09 00:59:51,FALSE,NA,"1104184993843048448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ethanashebrand",1,TRUE,FALSE,NA,NA
"12","RT @hiso_neko: I’ve developed a cough and I really hope I’m not getting sick, I’ve already had a cold and flu that lasted almost a whole mo…",FALSE,0,NA,2019-03-09 00:41:10,FALSE,NA,"1104180288429666304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jarvmarda10",2,TRUE,FALSE,NA,NA
"13","@CanuckJordan Thanks dude! Went from flu to chest cold, never ending!!!",FALSE,0,"CanuckJordan",2019-03-09 00:28:56,FALSE,"1104176200048500736","1104177210913681408","724626577741348864","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DylanNowak",0,FALSE,FALSE,NA,NA
