"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-09 01:44:18,FALSE,NA,"1104196176889311232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CindyDcmurphy",74,TRUE,FALSE,NA,NA
"2","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-09 01:24:31,FALSE,NA,"1104191201589317637",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jensanityyyy",14,TRUE,FALSE,NA,NA
"3","I was knocked flat on my ass for a week with the flu, but this lingering cough is almost worse. I'm so sick of the taste of medicine.",FALSE,0,NA,2019-03-09 01:12:49,FALSE,NA,"1104188256390770689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SMS1080",0,FALSE,FALSE,NA,NA
"4","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-09 00:46:19,FALSE,NA,"1104181586025635841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","loupierri",74,TRUE,FALSE,NA,NA
"5","RT @hiso_neko: I’ve developed a cough and I really hope I’m not getting sick, I’ve already had a cold and flu that lasted almost a whole mo…",FALSE,0,NA,2019-03-09 00:41:10,FALSE,NA,"1104180288429666304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jarvmarda10",2,TRUE,FALSE,NA,NA
"6","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-09 00:37:11,FALSE,NA,"1104179288104976384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wamoase",74,TRUE,FALSE,NA,NA
"7","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-09 00:12:12,FALSE,NA,"1104173002453790720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mdpme123",74,TRUE,FALSE,NA,NA
"8","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 23:47:28,FALSE,NA,"1104166773996236805",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gronk9793",74,TRUE,FALSE,NA,NA
"9","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 23:39:24,FALSE,NA,"1104164747417546752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Joshwahhhs",526,TRUE,FALSE,NA,NA
"10","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 23:33:52,FALSE,NA,"1104163355269435392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iam_jijor",526,TRUE,FALSE,NA,NA
"11","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 23:22:30,FALSE,NA,"1104160494695399424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ram_Duffy",526,TRUE,FALSE,NA,NA
"12","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 23:19:55,FALSE,NA,"1104159841247993860",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pslovesarz",526,TRUE,FALSE,NA,NA
"13","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 23:14:25,FALSE,NA,"1104158457169670149",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","megatronforev13",14,TRUE,FALSE,NA,NA
