"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","One kid getting over the flu and 104 fever, the other kid puking like crazy 
#thisislife #ThisIsUs",FALSE,0,NA,2019-03-09 01:46:19,FALSE,NA,"1104196686371586048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nickp286",0,FALSE,FALSE,NA,NA
"2","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-09 01:24:31,FALSE,NA,"1104191201589317637",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jensanityyyy",14,TRUE,FALSE,NA,NA
"3","Last years spring break i literally had mono and strep and now this year im starting it off w a fever and whats lik… https://t.co/wfWn10NcOv",FALSE,4,NA,2019-03-09 00:58:37,TRUE,NA,"1104184682013511680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jordybree",0,FALSE,FALSE,NA,NA
"4","It’s official...getting the flu shot <U+0001F489> was not effective for me! <U+0001F321><U+0001F637><U+0001F927><U+0001F915><U+0001F912>
.
.
#downtime #rest #flu #fever… https://t.co/AY1jmR8nhE",FALSE,0,NA,2019-03-09 00:34:58,TRUE,NA,"1104178729771778049",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iSTR8N_UP",0,FALSE,FALSE,NA,NA
"5","RT @talk_nyc: BAD NEWS - Just got over the 'slow flu' for last four days... 
Fever..aching joints...TROTTS... sweats... YECH !!  ;P
GOOD ne…",FALSE,0,NA,2019-03-08 23:48:31,FALSE,NA,"1104167039759990784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","earth_to_jen",2,TRUE,FALSE,NA,NA
"6","RT @talk_nyc: BAD NEWS - Just got over the 'slow flu' for last four days... 
Fever..aching joints...TROTTS... sweats... YECH !!  ;P
GOOD ne…",FALSE,0,NA,2019-03-08 23:40:55,FALSE,NA,"1104165126322700291",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nancysoria626",2,TRUE,FALSE,NA,NA
"7","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 23:39:24,FALSE,NA,"1104164747417546752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Joshwahhhs",526,TRUE,FALSE,NA,NA
"8","BAD NEWS - Just got over the 'slow flu' for last four days... 
Fever..aching joints...TROTTS... sweats... YECH !!… https://t.co/wDF3gerMLm",FALSE,1,NA,2019-03-08 23:37:08,TRUE,NA,"1104164177634050049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","talk_nyc",2,FALSE,FALSE,NA,NA
"9","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 23:33:52,FALSE,NA,"1104163355269435392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iam_jijor",526,TRUE,FALSE,NA,NA
"10","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 23:22:30,FALSE,NA,"1104160494695399424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ram_Duffy",526,TRUE,FALSE,NA,NA
"11","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 23:19:55,FALSE,NA,"1104159841247993860",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pslovesarz",526,TRUE,FALSE,NA,NA
"12","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 23:14:25,FALSE,NA,"1104158457169670149",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","megatronforev13",14,TRUE,FALSE,NA,NA
"13","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 23:07:19,FALSE,NA,"1104156671411138560",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","thebenreynolds",14,TRUE,FALSE,NA,NA
"14","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 22:59:19,FALSE,NA,"1104154660686958594",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","skylarclouds",14,TRUE,FALSE,NA,NA
"15","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 22:59:16,FALSE,NA,"1104154645780410368",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","letterstoJD",14,TRUE,FALSE,NA,NA
"16","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 22:59:13,FALSE,NA,"1104154634669752320",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","iamoppose",14,TRUE,FALSE,NA,NA
"17","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 22:59:11,FALSE,NA,"1104154625274458113",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","iamabuff",14,TRUE,FALSE,NA,NA
"18","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 22:59:09,FALSE,NA,"1104154616051175424",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nerdinajock",14,TRUE,FALSE,NA,NA
"19","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 22:54:05,FALSE,NA,"1104153340622110720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kojo_XO",526,TRUE,FALSE,NA,NA
"20","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 22:48:33,FALSE,NA,"1104151950352887811",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KyongHatchell",526,TRUE,FALSE,NA,NA
"21","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 22:44:33,FALSE,NA,"1104150942193205248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dawn_morning",14,TRUE,FALSE,NA,NA
"22","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 22:27:42,FALSE,NA,"1104146700959047680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Davidw3625",14,TRUE,FALSE,NA,NA
"23","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 22:27:16,FALSE,NA,"1104146595011051522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","loveandswagger",526,TRUE,FALSE,NA,NA
"24","RT @iownjd: Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body ache free, f…",FALSE,0,NA,2019-03-08 21:50:24,FALSE,NA,"1104137317013434368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abdul0526",14,TRUE,FALSE,NA,NA
"25","Pray for me and send help, this cold and flu is kicking my ass, has laid me all the way out. Can’t wait to be body… https://t.co/3rtsyMlZu5",FALSE,114,NA,2019-03-08 21:47:19,TRUE,NA,"1104136539846725632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iownjd",14,FALSE,FALSE,NA,NA
"26","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 21:29:51,FALSE,NA,"1104132142630608896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samora_music",526,TRUE,FALSE,NA,NA
"27","@Lead1225 Yesterday fever, stomach flu, chills, and a family member excoriating me via email for my faith and why i… https://t.co/fqgWHLosrs",FALSE,1,"Lead1225",2019-03-08 21:29:02,TRUE,"1104128737027723264","1104131939458535424","2812148346","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","story_cosmos",0,FALSE,FALSE,NA,NA
"28","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 21:08:16,FALSE,NA,"1104126712894423040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chloessela",526,TRUE,FALSE,NA,NA
"29","Not gonna lie, Tuesday has my interests peaked a bit weather wise. Think I'm FINALLY turning corner on this Flu mes… https://t.co/vjl9NlWe7j",FALSE,1,NA,2019-03-08 20:13:22,TRUE,NA,"1104112897142255616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vektor580Jon",0,FALSE,FALSE,NA,NA
"30","Flu hits so hard u can call me justin fever",FALSE,0,NA,2019-03-08 19:34:26,FALSE,NA,"1104103096467243008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","megFather",0,FALSE,FALSE,NA,NA
"31","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 19:21:44,FALSE,NA,"1104099901326143488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","njoku_ephraim",526,TRUE,FALSE,NA,NA
"32","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 19:08:56,FALSE,NA,"1104096679836364800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EverDave",526,TRUE,FALSE,NA,NA
"33","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 18:56:30,FALSE,NA,"1104093552605315072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","timothyojimau",526,TRUE,FALSE,NA,NA
