"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @GretchenScience: In the case of GBS, it’s commonly caused by campylobacter - a bacteria causing a type of “stomach flu.” Campylobacter…",FALSE,0,NA,2019-03-09 01:56:34,FALSE,NA,"1104199266371805184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AutisticShill",3,TRUE,FALSE,NA,NA
"2","Weekly U.S. Influenza Surveillance Report https://t.co/SIKAQupNVq",FALSE,0,NA,2019-03-09 01:48:40,FALSE,NA,"1104197276904378369",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","FHStralow",0,FALSE,FALSE,NA,NA
"3","Oops! Just kidding...he has Influenza A. <U+0001F614> Who knew flu swabs at the doctors office aren’t as good as the ones in t… https://t.co/XvjkgY0W49",FALSE,2,NA,2019-03-09 01:16:24,TRUE,NA,"1104189157767819269",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovetoread423",0,FALSE,FALSE,NA,NA
"4","RT @pinterventures: Flu season can last through Spring. Protect yourself and loved ones against influenza by getting a flu shot. #ad #IGotM…",FALSE,0,NA,2019-03-09 01:06:01,FALSE,NA,"1104186545517531136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","barrettboys",5,TRUE,FALSE,NA,NA
"5","RT @cellhostmicrobe: A new means to fight #flu: New work identifies an orally active small molecule against #influenza A HA that functional…",FALSE,0,NA,2019-03-09 00:50:11,FALSE,NA,"1104182557342556160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ProfPaulYoung",10,TRUE,FALSE,NA,NA
"6","RT @CPHO_Canada: Flu is still present across Canada, with activity up slightly this week! Stay on guard to prevent illness and spread by fr…",FALSE,0,NA,2019-03-08 23:47:56,FALSE,NA,"1104166894565838853",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KLarson14",1,TRUE,FALSE,NA,NA
"7","RT @indystar: A more potent influenza strain is now circulating through Indiana and Indianapolis.
https://t.co/2PofV3HwDG",FALSE,0,NA,2019-03-08 23:41:48,FALSE,NA,"1104165349157683201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cgadad",1,TRUE,FALSE,NA,NA
"8","A more potent influenza strain is now circulating through Indiana and Indianapolis.
https://t.co/2PofV3HwDG",FALSE,0,NA,2019-03-08 23:30:00,FALSE,NA,"1104162382090326021",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","indystar",1,FALSE,FALSE,NA,NA
"9","RT @pinterventures: Flu season can last through Spring. Protect yourself and loved ones against influenza by getting a flu shot. #ad #IGotM…",FALSE,0,NA,2019-03-08 23:17:34,FALSE,NA,"1104159253101756416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aboutamom",5,TRUE,FALSE,NA,NA
"10","RT @erikmoldwarrior: @Spartan36Chris @microbeminded2 Chris. So we know the 1985 Tahoe flu was a type A influenza.  
Then we had the HHV6A o…",FALSE,0,NA,2019-03-08 23:15:15,FALSE,NA,"1104158668109492225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","erikmoldwarrior",1,TRUE,FALSE,NA,NA
